ISOCode,Year,EnergyTypeID,ElectricityGenerationTWH,ElectricityGenerationPerPerson,ShareOfElectricityGenerated
AFG,2016,4,0.0,0.0,0.0
AFG,2016,5,1.02,2.9448947823740078e-08,84.297516
AFG,2016,6,0.04,1.1548606989701991e-09,3.305785
AFG,2016,7,0.0,0.0,0.0
AFG,2017,1,0.0,0.0,0.0
AFG,2017,2,0.18,5.050020452582833e-09,14.173228
AFG,2017,3,0.0,0.0,0.0
AFG,2017,4,0.0,0.0,0.0
AFG,2017,5,1.05,2.9458452640066528e-08,82.67716
AFG,2017,6,0.04,1.1222267672406295e-09,3.1496062
AFG,2017,7,0.0,0.0,0.0
AFG,2018,1,0.0,0.0,0.0
AFG,2018,2,0.2,5.4515538400363645e-09,17.094017
AFG,2018,3,0.0,0.0,0.0
AFG,2018,4,0.0,0.0,0.0
AFG,2018,5,0.93,2.5349725356169093e-08,79.48718
AFG,2018,6,0.04,1.0903107680072727e-09,3.4188035
AFG,2018,7,0.0,0.0,0.0
AFG,2019,1,0.0,0.0,0.0
AFG,2019,2,0.18,4.765750647030079e-09,16.82243
AFG,2019,3,0.0,0.0,0.0
AFG,2019,4,0.0,0.0,0.0
AFG,2019,5,0.84,2.224016968614037e-08,78.50467
AFG,2019,6,0.05,1.3238196241750221e-09,4.672897
AFG,2019,7,0.0,0.0,0.0
AFG,2020,1,0.0,0.0,0.0
AFG,2020,2,0.12,3.0791150910612366e-09,15.0
AFG,2020,3,0.0,0.0,0.0
AFG,2020,4,0.0,0.0,0.0
AFG,2020,5,0.62,1.590876130381639e-08,77.5
AFG,2020,6,0.06,1.5395575455306183e-09,7.5
AFG,2020,7,0.0,0.0,0.0
AFG,2021,1,0.0,0.0,0.0
AFG,2021,2,0.13,3.2419389188782093e-09,15.662651
AFG,2021,3,0.0,0.0,0.0
AFG,2021,4,0.0,0.0,0.0
AFG,2021,5,0.62,1.546155484388069e-08,74.6988
AFG,2021,6,0.08,1.9950393346942825e-09,9.638555
AFG,2021,7,0.0,0.0,0.0
ALB,1990,1,0.0,0.0,0.0
ALB,1990,2,0.45,1.3656753583304527e-07,13.636364
ALB,1990,3,0.0,0.0,0.0
ALB,1990,4,0.0,0.0,0.0
ALB,1990,5,2.85,8.649277269426202e-07,86.36364
ALB,1990,6,0.0,0.0,0.0
ALB,1990,7,0.0,0.0,0.0
ALB,1991,1,0.0,0.0,0.0
ALB,1991,2,0.3,9.08516341332012e-08,7.8534036
ALB,1991,3,0.0,0.0,0.0
ALB,1991,4,0.0,0.0,0.0
ALB,1991,5,3.52,1.0659925071628942e-06,92.1466
ALB,1991,6,0.0,0.0,0.0
ALB,1991,7,0.0,0.0,0.0
ALB,1992,1,0.0,0.0,0.0
ALB,1992,2,0.17,5.145686492088659e-08,5.0
ALB,1992,3,0.0,0.0,0.0
ALB,1992,4,0.0,0.0,0.0
ALB,1992,5,3.23,9.77680433496845e-07,95.0
ALB,1992,6,0.0,0.0,0.0
ALB,1992,7,0.0,0.0,0.0
ALB,1993,1,0.0,0.0,0.0
ALB,1993,2,0.22,6.665222535117391e-08,6.2322946
ALB,1993,3,0.0,0.0,0.0
ALB,1993,4,0.0,0.0,0.0
ALB,1993,5,3.31,1.0028130268744802e-06,93.76771
ALB,1993,6,0.0,0.0,0.0
ALB,1993,7,0.0,0.0,0.0
ALB,1994,1,0.0,0.0,0.0
ALB,1994,2,0.17,5.1608970367647126e-08,4.3147206
ALB,1994,3,0.0,0.0,0.0
ALB,1994,4,0.0,0.0,0.0
ALB,1994,5,3.77,1.1445048134472334e-06,95.68528
ALB,1994,6,0.0,0.0,0.0
ALB,1994,7,0.0,0.0,0.0
ALB,1995,1,0.0,0.0,0.0
ALB,1995,2,0.27,8.220754665278273e-08,6.0402694
ALB,1995,3,0.0,0.0,0.0
ALB,1995,4,0.0,0.0,0.0
ALB,1995,5,4.2,1.2787840590432868e-06,93.95973
ALB,1995,6,0.0,0.0,0.0
ALB,1995,7,0.0,0.0,0.0
ALB,1996,1,0.0,0.0,0.0
ALB,1996,2,0.26,7.947823152375665e-08,4.3405676
ALB,1996,3,0.0,0.0,0.0
ALB,1996,4,0.0,0.0,0.0
ALB,1996,5,5.73,1.7515779485812526e-06,95.65944
ALB,1996,6,0.0,0.0,0.0
ALB,1996,7,0.0,0.0,0.0
ALB,1997,1,0.0,0.0,0.0
ALB,1997,2,0.2,6.146808530909688e-08,3.8240917
ALB,1997,3,0.0,0.0,0.0
ALB,1997,4,0.0,0.0,0.0
ALB,1997,5,5.03,1.5459223455237865e-06,96.17591
ALB,1997,6,0.0,0.0,0.0
ALB,1997,7,0.0,0.0,0.0
ALB,1998,1,0.0,0.0,0.0
ALB,1998,2,0.19,5.878376392440408e-08,3.7181995
ALB,1998,3,0.0,0.0,0.0
ALB,1998,4,0.0,0.0,0.0
ALB,1998,5,4.92,1.5221900974108847e-06,96.2818
ALB,1998,6,0.0,0.0,0.0
ALB,1998,7,0.0,0.0,0.0
ALB,1999,1,0.0,0.0,0.0
ALB,1999,2,0.14,4.363729305403388e-08,2.5830257
ALB,1999,3,0.0,0.0,0.0
ALB,1999,4,0.0,0.0,0.0
ALB,1999,5,5.28,1.6457493380378493e-06,97.41697
ALB,1999,6,0.0,0.0,0.0
ALB,1999,7,0.0,0.0,0.0
ALB,2000,1,0.0,0.0,0.0
ALB,2000,2,0.14,4.3997112532357523e-08,2.9850745
ALB,2000,3,0.0,0.0,0.0
ALB,2000,4,0.0,0.0,0.0
ALB,2000,5,4.55,1.4299061573016194e-06,97.01493
ALB,2000,6,0.0,0.0,0.0
ALB,2000,7,0.0,0.0,0.0
ALB,2001,1,0.0,0.0,0.0
ALB,2001,2,0.13,4.122253350519959e-08,3.5616438
ALB,2001,3,0.0,0.0,0.0
ALB,2001,4,0.0,0.0,0.0
ALB,2001,5,3.52,1.1161793687561735e-06,96.438354
ALB,2001,6,0.0,0.0,0.0
ALB,2001,7,0.0,0.0,0.0
ALB,2002,1,0.0,0.0,0.0
ALB,2002,2,0.16,5.122370223149656e-08,4.395604
ALB,2002,3,0.0,0.0,0.0
ALB,2002,4,0.0,0.0,0.0
ALB,2002,5,3.48,1.11411552353505e-06,95.60439
ALB,2002,6,0.0,0.0,0.0
ALB,2002,7,0.0,0.0,0.0
ALB,2003,1,0.0,0.0,0.0
ALB,2003,2,0.1,3.233114332945468e-08,1.9157089
ALB,2003,3,0.0,0.0,0.0
ALB,2003,4,0.0,0.0,0.0
ALB,2003,5,5.12,1.6553545384680794e-06,98.0843
ALB,2003,6,0.0,0.0,0.0
ALB,2003,7,0.0,0.0,0.0
ALB,2004,1,0.0,0.0,0.0
ALB,2004,2,0.13,4.244719161217373e-08,2.3465705
ALB,2004,3,0.0,0.0,0.0
ALB,2004,4,0.0,0.0,0.0
ALB,2004,5,5.41,1.7664562047835373e-06,97.65343
ALB,2004,6,0.0,0.0,0.0
ALB,2004,7,0.0,0.0,0.0
ALB,2005,1,0.0,0.0,0.0
ALB,2005,2,0.07,2.3082229453188582e-08,1.2987013
ALB,2005,3,0.0,0.0,0.0
ALB,2005,4,0.0,0.0,0.0
ALB,2005,5,5.32,1.754249438442332e-06,98.7013
ALB,2005,6,0.0,0.0,0.0
ALB,2005,7,0.0,0.0,0.0
ALB,2006,1,0.0,0.0,0.0
ALB,2006,2,0.09,2.996612828632702e-08,1.7857143
ALB,2006,3,0.0,0.0,0.0
ALB,2006,4,0.0,0.0,0.0
ALB,2006,5,4.95,1.6481370557479862e-06,98.21428
ALB,2006,6,0.0,0.0,0.0
ALB,2006,7,0.0,0.0,0.0
ALB,2007,1,0.0,0.0,0.0
ALB,2007,2,0.07,2.352080196526381e-08,2.4734983
ALB,2007,3,0.0,0.0,0.0
ALB,2007,4,0.0,0.0,0.0
ALB,2007,5,2.76,9.273916203446872e-07,97.526505
ALB,2007,6,0.0,0.0,0.0
ALB,2007,7,0.0,0.0,0.0
ALB,2008,1,0.0,0.0,0.0
ALB,2008,2,0.07,2.3715227547608323e-08,1.8276763
ALB,2008,3,0.0,0.0,0.0
ALB,2008,4,0.0,0.0,0.0
ALB,2008,5,3.76,1.2738465082715324e-06,98.172325
ALB,2008,6,0.0,0.0,0.0
ALB,2008,7,0.0,0.0,0.0
ALB,2009,1,0.0,0.0,0.0
ALB,2009,2,0.0,0.0,0.0
ALB,2009,3,0.0,0.0,0.0
ALB,2009,4,0.0,0.0,0.0
ALB,2009,5,5.2,1.7744091302904264e-06,100.0
ALB,2009,6,0.0,0.0,0.0
ALB,2009,7,0.0,0.0,0.0
ALB,2010,1,0.0,0.0,0.0
ALB,2010,2,0.0,0.0,0.0
ALB,2010,3,0.0,0.0,0.0
ALB,2010,4,0.0,0.0,0.0
ALB,2010,5,7.49,2.5708776200469417e-06,100.0
ALB,2010,6,0.0,0.0,0.0
ALB,2010,7,0.0,0.0,0.0
ALB,2011,1,0.0,0.0,0.0
ALB,2011,2,0.06,2.0684947563657925e-08,1.4457831
ALB,2011,3,0.0,0.0,0.0
ALB,2011,4,0.0,0.0,0.0
ALB,2011,5,4.09,1.4100239255893485e-06,98.554214
ALB,2011,6,0.0,0.0,0.0
ALB,2011,7,0.0,0.0,0.0
ALB,2012,1,0.0,0.0,0.0
ALB,2012,2,0.0,0.0,0.0
ALB,2012,3,0.0,0.0,0.0
ALB,2012,4,0.0,0.0,0.0
ALB,2012,5,4.68,1.618150391865544e-06,100.0
ALB,2012,6,0.0,0.0,0.0
ALB,2012,7,0.0,0.0,0.0
ALB,2013,1,0.0,0.0,0.0
ALB,2013,2,0.0,0.0,0.0
ALB,2013,3,0.0,0.0,0.0
ALB,2013,4,0.0,0.0,0.0
ALB,2013,5,6.89,2.3865447369760988e-06,100.0
ALB,2013,6,0.0,0.0,0.0
ALB,2013,7,0.0,0.0,0.0
ALB,2014,1,0.0,0.0,0.0
ALB,2014,2,0.0,0.0,0.0
ALB,2014,3,0.0,0.0,0.0
ALB,2014,4,0.0,0.0,0.0
ALB,2014,5,4.68,1.6226899205991469e-06,100.0
ALB,2014,6,0.0,0.0,0.0
ALB,2014,7,0.0,0.0,0.0
ALB,2015,1,0.0,0.0,0.0
ALB,2015,2,0.0,0.0,0.0
ALB,2015,3,0.0,0.0,0.0
ALB,2015,4,0.0,0.0,0.0
ALB,2015,5,5.84,2.026031732375085e-06,100.0
ALB,2015,6,0.0,0.0,0.0
ALB,2015,7,0.0,0.0,0.0
ALB,2016,1,0.0,0.0,0.0
ALB,2016,2,0.0,0.0,0.0
ALB,2016,3,0.0,0.0,0.0
ALB,2016,4,0.0,0.0,0.0
ALB,2016,5,7.7,2.672623725123774e-06,100.0
ALB,2016,6,0.0,0.0,0.0
ALB,2016,7,0.0,0.0,0.0
ALB,2017,1,0.0,0.0,0.0
ALB,2017,2,0.0,0.0,0.0
ALB,2017,3,0.0,0.0,0.0
ALB,2017,4,0.0,0.0,0.0
ALB,2017,5,4.48,1.5559007710391301e-06,100.0
ALB,2017,6,0.0,0.0,0.0
ALB,2017,7,0.0,0.0,0.0
ALB,2018,1,0.0,0.0,0.0
ALB,2018,2,0.0,0.0,0.0
ALB,2018,3,0.0,0.0,0.0
ALB,2018,4,0.0,0.0,0.0
ALB,2018,5,8.47,2.9440194868368964e-06,100.0
ALB,2018,6,0.0,0.0,0.0
ALB,2018,7,0.0,0.0,0.0
