ISOCode,Year,AnnualGasemissions
AFG,2010,31517414.0
AFG,2011,35598764.0
AFG,2012,33642076.0
AFG,2013,32901880.0
AFG,2014,33513274.0
AFG,2015,33527144.0
AFG,2016,33077642.0
AFG,2017,34142424.0
AFG,2018,35579824.0
AFG,2019,35761572.0
AFG,2020,35855948.0
AFG,2021,36677224.0
AFG,2022,36614290.0
,1850,257769420.0
,1851,282539900.0
,1852,299646820.0
,1853,311290880.0
,1854,318132770.0
,1855,322158980.0
,1856,328790660.0
,1857,334800640.0
,1858,336392060.0
,1859,339339100.0
,1860,273800100.0
,1861,247377060.0
,1862,232308590.0
,1863,222806610.0
,1864,217856750.0
,1865,216190200.0
,1866,209734700.0
,1867,210535200.0
,1868,207384060.0
,1869,205894500.0
,1870,209431970.0
,1871,211924420.0
,1872,214134140.0
,1873,214718900.0
,1874,216610900.0
,1875,218563000.0
,1876,218070190.0
,1877,217736600.0
,1878,218893920.0
,1879,222234160.0
,1880,223852530.0
,1881,228231680.0
,1882,229400300.0
,1883,229388960.0
,1884,230865730.0
,1885,232013500.0
,1886,233886290.0
,1887,234182290.0
,1888,238811600.0
,1889,238633360.0
,1890,245398130.0
,1891,250027100.0
,1892,256944270.0
,1893,260405310.0
,1894,262171400.0
,1895,269553340.0
,1896,271291740.0
,1897,275860580.0
,1898,280382980.0
,1899,284533820.0
,1900,294723870.0
,1901,308348740.0
,1902,319863400.0
,1903,331918620.0
,1904,346747680.0
,1905,355501150.0
,1906,367099800.0
,1907,373832200.0
,1908,384413760.0
,1909,395798080.0
,1910,421423500.0
,1911,436333730.0
,1912,451648030.0
,1913,467937380.0
,1914,482529800.0
,1915,495536580.0
,1916,512760500.0
,1917,523527700.0
,1918,536670700.0
,1919,545450300.0
,1920,584415800.0
,1921,605939100.0
,1922,625225860.0
,1923,652547500.0
,1924,670201700.0
,1925,689309250.0
,1926,702641200.0
,1927,716930200.0
,1928,730451600.0
,1929,750034500.0
,1930,807940000.0
,1931,852135200.0
,1932,876640100.0
,1933,898849800.0
,1934,922120500.0
,1935,941109500.0
,1936,963366200.0
,1937,976892900.0
,1938,988117100.0
,1939,1012261000.0
,1940,1221832200.0
,1941,1376248000.0
,1942,1474541600.0
,1943,1550435800.0
,1944,1620510500.0
,1945,1682924700.0
,1946,1740299600.0
,1947,1791836200.0
,1948,1841133800.0
,1949,1888739300.0
,1950,2083658400.0
,1951,2030672800.0
,1952,1995093900.0
,1953,2005298000.0
,1954,2035495600.0
,1955,2078234200.0
,1956,2120708600.0
,1957,2173809200.0
,1958,2218589200.0
,1959,2263102700.0
,1960,2247468500.0
,1961,2067960600.0
,1962,2028569200.0
,1963,2010776600.0
,1964,1994557700.0
,1965,1932964700.0
,1966,1984251400.0
,1967,2029834200.0
,1968,2119083600.0
,1969,2144473100.0
,1970,2193486000.0
,1971,2062754600.0
,1972,2164936000.0
,1973,2136054100.0
,1974,2100880100.0
,1975,2091300600.0
,1976,2111084900.0
,1977,2190443300.0
,1978,2147559200.0
,1979,2284219100.0
,1980,2274765000.0
